10000,10000,10000,15.007638,133.265478,float,spread,1
10000,10000,10000,8.196307,244.012347,float,spread,2
10000,10000,10000,3.964294,504.503494,float,spread,4
10000,10000,10000,2.760574,724.487051,float,spread,6
10000,10000,10000,1.975997,1012.147119,float,spread,8
10000,10000,10000,1.619348,1235.064790,float,spread,10
10000,10000,10000,1.458169,1371.583442,float,spread,12
10000,10000,10000,15.101793,132.434607,float,close,1
10000,10000,10000,7.864964,254.292334,float,close,2
10000,10000,10000,3.883249,515.032593,float,close,4
10000,10000,10000,2.634213,759.239927,float,close,6
10000,10000,10000,1.989036,1005.512409,float,close,8
10000,10000,10000,1.635401,1222.941299,float,close,10
10000,10000,10000,1.455099,1374.477356,float,close,12
10000,10000,10000,30.069935,66.511617,double,spread,1
10000,10000,10000,16.580467,120.623863,double,spread,2
10000,10000,10000,8.038712,248.796090,double,spread,4
10000,10000,10000,5.365337,372.763147,double,spread,6
10000,10000,10000,3.983735,502.041410,double,spread,8
10000,10000,10000,3.247968,615.769543,double,spread,10
10000,10000,10000,2.630158,760.410585,double,spread,12
10000,10000,10000,30.132630,66.373230,double,close,1
10000,10000,10000,16.118242,124.083013,double,close,2
10000,10000,10000,7.863842,254.328597,double,close,4
10000,10000,10000,5.201541,384.501451,double,close,6
10000,10000,10000,3.914204,510.959538,double,close,8
10000,10000,10000,3.243867,616.547999,double,close,10
10000,10000,10000,2.850690,701.584564,double,close,12
